005F;Pc
1277;Lo
1278;Lo
1279;Lo
127A;Lo
127B;Lo
127C;Lo
127D;Lo
127E;Lo
127F;Lo
1280;Lo
1281;Lo
1282;Lo
1283;Lo
1284;Lo
1285;Lo
1286;Lo
1287;Lo
1288;Lo
128A;Lo
128B;Lo
128C;Lo
128D;Lo
1290;Lo
1291;Lo
1292;Lo
1293;Lo
1294;Lo
1295;Lo
1296;Lo
1297;Lo
1298;Lo
1299;Lo
129A;Lo
129B;Lo
129C;Lo
129D;Lo
129E;Lo
129F;Lo
12A0;Lo
12A1;Lo
12A2;Lo
12A3;Lo
12A4;Lo
12A5;Lo
12A6;Lo
12A7;Lo
12A8;Lo
12A9;Lo
12AA;Lo
